image_id,text
164,A small kitchen with low a ceiling 
2255,The elephant has a large white spot on its abdomen.
2299,Many small children are posing together in the black and white photo. 
2972,Two colorful passenger trains passing near a platform.
3192,A pizza covered in veggies on a white plate sitting on a table.
3690,"An individual pizza with cheese, pineapple and sauce."
3711,A black cat sitting on top of the hood of a car.
5037,A passenger bus pulling up to the side of a street.
5477,large mustard yellow commercial airplane parked in the airport
6019,A red bicycle is parked near a red fire hydrant.
6040,A blue and white train is moving on the rails. 
6417,A surfer curls to balance on his board atop the foamy white crest of a wave
6460,a person riding a surf board on a wave
6871,An adult polar bear is swimming in the water. 
7913,a shops table filled with apples oranges and other fruits
8065,A baseball player swinging a baseball bat during a game.
9478,A giraffe standing in a field of grass.
10694,A cat stares from behind a large TV.
11374,A branch stretches in the air while an airplane flies in the distance.
12209,A baseball player holding a baseball bat during a baseball game.
13127,An locomotive blowing out a cloud of steam.
14781,A news paper sitting on a floor next to a toilet.
15850,"A wooden counter with broccoli, onions and chicken on it"
17867,A dinner table with candles and vases of flowers.
18148,A herd of sheep standing on a grass covered hillside.
19313,a person swinging a tennis racket hitting a tennis ball
19974,two calfs walk side by side in a pen on a sunny day
20906,"A banana, peanut butter and turkey sandwich sitting in a container."
21284,A person surfing in the middle of a wave.
21470,A baseball player is waiting his turn to catch the ball.
21503,Crackers with spread on table with remote in background
23019,a few big buildings with roads next to them
25191,there are two elephants that are walking in the wild together
26799,A couple of giraffe standing next to each other.
27390,A picture of a plane that is in the air.
27569,Three people standing next to each other holding ski equipment.
27871,Four people compete on horseback playing playing polo.
28174,A skateboarder doing tricks by a statue at night
28998,A kid in a field with a muffin.
29593,A train is going down a hill through a town
30213,A kitchen filled with a stove top oven and a refrigerator.
32056,A man making the live long and prosper sign from star trek.
32284,A motorcycle parked behind a truck on a green field.
32391,A sign sitting above a store front entrance.
32708,The man is sitting down on the floor playing a video game. 
32817,A man climbing on a toilet bowl in a closet
32932,A group of people standing around a kitchen next to appliances.
33243,A bathroom with a white bath tub and two sinks.
33683,Two people flying a kite in a green grass covered field.
34500,A tennis player is on a blue and green court.
34524,A bed is scattered with papers and a remote control.
34662,A couple of sheep sitting on top of a lush green grass covered hill.
35206,a tennis player crouching down near the net
38438,a close up of a cat on a rug on the ground
38828,A woman riding a horse while it eats grass
40036,A person jumping a horse over a box.
41633,"A burgundy low-rider show-quality, hot rod Chevy truck."
41635,Three cows standing on a grass field under a cloudy sky.
41671,A slice of layer cake on  a plate that is garnished
41773,A road sign on the side of a road.
41945,a small boat in a body of water near building
41990,A group of people on snow shoes posing for a photo.
42276,A toilet sitting in a room surrounded by personal items.
42837,This is a computer generated image that depicts a surfer riding a wave.
42953,A group of people standing on top of a snow covered ski slope.
43678,A very large commercial plane flying in blue skies.
43693,a vintage photo of man standing in the middle of some waves
43850,A man standing over his dog on a beach while holding a surfboard next to the ocean.
44590,A group of motorcycles parked on the side of a road.
44823,A man riding on the back of a horse near a plane.
45075,a couple of buildings grouped together next to some power lines 
45099,A woman's reflection of her taking a picture of a sink and toilet.
45367,A woman in red pajamas is hugging a cute dog.
45478,The Big Ben clock tower towering over a city at night.
46551,A group of people in a bar playing Wii
47010,A pond of water with three giraffe walking in the dirt.
47781,A bedroom with a full size bed and wooden headboard with  matching drawers on the side.
48133,a bunch of people on skis going through the snow 
48791,A giraffe leans over a fence to eat from a happy woman's hand.
48924,A dirt bike parked near a tent in the woods.
50159,A man and a woman cross country skiing on a snow covered trail with mountain peaks in the background.
50778,People putting luggage onto a bus outside beside a building
50924,A pan filled with broccoli and onions with oil.
52161,A woman riding a red motorcycle wearign a helmet
52290,A black and white cat sniffs a laptop computer.
53082,A hand holding a piece of cinnamon roll
53457,A cat sitting on top of a television.
53802,"Some people sitting around at various tables, with a railing dividing them"
53990,A child eating a piece of cheese pizza.
54355,A white table topped with two pans of pizza and a black paper plate topped with a slice of pizza.
55241,The cows are standing on the hay in a meadow. 
55272,A bird floating on top of a body of water.
56713,Lone zebra as seen through narrow opening in enclosed area.
57107,some giraffes rocks plants trees and a building
57359,A room filled with clutter and a laptop computer.
57904,A couple of slices of a cinnamon roll on a white plate.
58146,a close up of many toy sheeps on a table 
58569,two public transit buses on a city street
60179,A man on skies with a parachute attempting to ski with it.
60507,A batter at a game playing in a baseball game.
